"mturk_id","trial_type","stim_type","train_type","category_type","dimension","z"
1,"XAB","HD","CONTROL","BETWEEN","shape-relevant",-0.0876243270947157
1,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.208704950621706
2,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.168376114009411
2,"XAB","LD","TRAIN","WITHIN","shape-relevant",-0.130531733822885
3,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",-0.764647851480491
3,"Similarity","LD","CONTROL","WITHIN","shape-relevant",-0.846221142668041
4,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",-0.98906644174308
4,"Similarity","LD","CONTROL","WITHIN","shape-relevant",-1.00126824932239
5,"XAB","LD","TRAIN","BETWEEN","shape-relevant",-0.0534324873582056
5,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.00355391220264467
6,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.296084096615009
6,"XAB","HD","TRAIN","WITHIN","shape-relevant",0.07763623163175
7,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.131917828088086
7,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.815223260049363
8,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",-0.128127636112092
8,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",-0.280602482937714
9,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.64352767564888
9,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.815649479021993
10,"XAB","LD","TRAIN","BETWEEN","shape-relevant",-0.315569925338117
10,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.033946658635098
11,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.282891516200453
11,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.248214962407335
12,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.249033787234
12,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.133808539770302
13,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.447011712421625
13,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.470842388601617
14,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.315091173294062
14,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",-0.247455777106057
15,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.349184927863767
15,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.229856786869802
16,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.249033787234
16,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.11618585486409
17,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.939630606045812
17,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.538499938590116
18,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.110528645875837
18,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.110528645875837
19,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.161043598261722
19,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.208704950621706
20,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.0784150056127347
20,"Similarity","LD","TRAIN","WITHIN","shape-relevant",0.405726390167828
21,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.229675945660098
21,"XAB","LD","TRAIN","WITHIN","shape-relevant",-0.105859974954188
22,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.652259003534644
22,"Similarity","LD","TRAIN","WITHIN","shape-relevant",0.341095879824703
23,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",0.373050556062559
23,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.237811996269399
24,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.481327886120813
24,"XAB","LD","TRAIN","WITHIN","shape-relevant",-0.0735969056643525
25,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.831913088807272
25,"Similarity","HD","CONTROL","WITHIN","shape-relevant",1.01058366631381
26,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.662951498222403
26,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.542382206087844
27,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.296084096615009
27,"XAB","HD","TRAIN","WITHIN","shape-relevant",0.512232510387918
28,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.397443905967241
28,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.459445108689447
29,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.410349133683176
29,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.0707378780006997
30,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.395590316028086
30,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.373050556062559
31,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.813882113095603
31,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.50407716677693
32,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.725169712594192
32,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.546523291418753
33,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.629179354623708
33,"Similarity","LD","TRAIN","WITHIN","shape-relevant",-0.54870375501268
34,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.411778745651465
34,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.152199943797697
35,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.249033787234
35,"XAB","HD","TRAIN","WITHIN","shape-relevant",-0.130531733822885
36,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.470842388601617
36,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.333532302040711
37,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",-0.366783918100022
37,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.170192716372819
38,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.565211866274385
38,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.0657208935417539
39,"XAB","LD","CONTROL","BETWEEN","shape-relevant",-0.220247220618149
39,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.033946658635098
40,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.781819759921035
40,"Similarity","LD","TRAIN","WITHIN","shape-relevant",0.88938079749259
