"mturk_id","trial_type","stim_type","train_type","dimension","irrelevant","relevant"
1,"XAB","HD","CONTROL","shape-relevant",0.341088903671249,0.107323593740353
2,"XAB","LD","TRAIN","shape-relevant",-0.322502943874522,0.151336332886102
3,"Similarity","LD","CONTROL","shape-relevant",-1.15725012378987,-0.750094740532741
4,"Similarity","LD","CONTROL","shape-relevant",-0.778375912389292,-0.975012405389985
5,"XAB","LD","TRAIN","shape-relevant",-0.532640362264016,0.0902669851048417
6,"XAB","HD","TRAIN","shape-relevant",0.189370254766554,0.271363673313179
7,"Similarity","HD","CONTROL","shape-relevant",-1.09574157557293,0.465007814822772
8,"Same-Different","LD","CONTROL","shape-relevant",-0.702090810658089,-0.0670859826849956
9,"Same-Different","HD","CONTROL","shape-relevant",0.465033646122179,0.788211974630206
10,"XAB","LD","TRAIN","shape-relevant",-0.187799470547923,-0.103609799718799
11,"Same-Different","HD","TRAIN","shape-relevant",-0.171063381417432,0.392147528383265
12,"XAB","LD","CONTROL","shape-relevant",-0.153037283882994,0.212752744476077
13,"XAB","HD","CONTROL","shape-relevant",-0.0523262630880293,0.471919003695517
14,"Same-Different","HD","TRAIN","shape-relevant",-0.846916473178268,0.14213683183759
15,"Same-Different","HD","CONTROL","shape-relevant",-0.00210010847722289,0.358659312124845
16,"XAB","HD","CONTROL","shape-relevant",0.319583612315599,0.265881827616062
17,"Similarity","HD","TRAIN","shape-relevant",-0.0811406021769617,0.764158668422654
18,"Same-Different","HD","TRAIN","shape-relevant",-0.412439485617731,0.140868814779877
19,"XAB","LD","TRAIN","shape-relevant",-0.294105995443509,0.227856961431296
20,"Similarity","LD","TRAIN","shape-relevant",0.278905847472963,0.157941231886287
21,"XAB","LD","TRAIN","shape-relevant",-0.122372069217861,0.146952990825412
22,"Similarity","LD","TRAIN","shape-relevant",0.0281884174417076,0.516219270857118
23,"Same-Different","LD","TRAIN","shape-relevant",0.395781147156173,0.290494827589968
24,"XAB","LD","TRAIN","shape-relevant",-0.51108780653176,0.261212107207407
25,"Similarity","HD","CONTROL","shape-relevant",0.343088560964513,0.839555073462403
26,"Similarity","LD","CONTROL","shape-relevant",0.0418743126772413,0.592279703140264
27,"XAB","HD","TRAIN","shape-relevant",0.144469096991021,0.427987836087957
28,"XAB","HD","CONTROL","shape-relevant",-0.226985935515661,0.465512375086081
29,"XAB","HD","CONTROL","shape-relevant",0.367948573690959,0.283662686095173
30,"Same-Different","HD","CONTROL","shape-relevant",0.0368914160474407,0.504789710343404
31,"Similarity","LD","CONTROL","shape-relevant",0.645523888565832,0.6192644322463
